Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,11.5376,16.8210,16.6546,0.1664,0.6100,16.4599,0.5344,15.9255,32.8022,16.6668,0.0000,11.5376,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,28.3586,17.2182,17.0791,0.1391,0.2489,17.1329,0.4523,16.6806,32.6480,16.6673,0.1542,28.3586,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,45.5768,16.3351,16.2282,0.1069,0.1636,16.3156,0.4231,15.8925,32.0971,16.6753,0.5509,45.5768,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,61.9119,16.6610,16.5058,0.1552,0.1441,16.6673,0.4598,16.2075,32.4373,16.6059,-0.3402,61.9119,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,78.5729,16.6468,16.4933,0.1535,0.1504,16.6367,0.4238,16.2129,32.3822,16.6251,0.0551,78.5729,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,95.2197,16.9359,16.7053,0.2306,0.1403,17.0723,0.4883,16.5840,32.3605,16.7798,0.0217,95.2197,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,112.1556,16.8406,16.7074,0.1332,0.2767,16.8425,0.3757,16.4668,32.2044,16.6312,0.1561,112.1556,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,128.9962,16.6062,16.2993,0.3069,0.2786,16.4407,0.5345,15.9062,31.9950,16.6967,0.2094,128.9962,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Composed: Flip,115.0251,56.8798,56.4376,0.4422,56.7294,1.1213,1.1213,0.0000,NA,NA,NA,NA,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,145.6024,16.1558,16.0372,0.1186,0.1131,16.1818,0.4381,15.7437,32.0855,16.6807,-0.0905,145.6024,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Composed: Flip,171.9049,1.5301,1.3107,0.2194,1.0221,0.9006,0.8155,0.0851,22.4637,16.7435,0.0000,171.9049,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,161.7582,17.6483,17.5058,0.1425,0.1391,18.2073,0.4733,17.7340,32.6104,16.7435,-0.5249,161.7582,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,179.4065,16.2128,16.0405,0.1723,0.6981,15.6687,0.6173,15.0514,31.7056,16.6369,0.9048,179.4065,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Composed: Flip,173.4350,5.8482,5.6305,0.2177,5.7396,1.7654,1.2434,0.5220,37.6771,33.3163,-15.2134,173.4350,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,195.6193,16.7299,16.5224,0.2075,0.1540,16.7268,0.5954,16.1314,32.1297,16.6794,-0.4241,195.6193,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,212.3492,16.5099,16.4008,0.1091,0.1509,16.5347,0.4806,16.0541,32.0792,16.6514,0.0505,212.3492,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Composed: Flip,179.2832,16.7083,16.4934,0.2149,16.5745,15.7224,0.5857,15.1367,65.1452,16.6521,-27.4681,179.2832,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,228.8591,16.5503,16.3946,0.1557,0.1757,16.5287,0.5518,15.9769,32.2207,16.6564,-0.1415,228.8591,NA,NA
